YTIncre [['86.7', '42.4'], ['7.16', '7.73']]
Its12344 [['132.3', '10.2'], ['10.00', '0.00']]
samdryman [['14.3', '0.0'], ['10.00', '0.00']]
Dr_Senku [['81.3', '0.0'], ['8.18', '0.00']]
Yeetrius [['1.1', '0.0'], ['9.20', '0.00']]
levimaidsama [['31.1', '0.0'], ['8.69', '0.00']]
Seawiio [['9.4', '0.0'], ['8.38', '0.00']]
fillebulle [['30.1', '0.0'], ['8.47', '0.00']]
Naiknats [['23.2', '0.2'], ['8.00', '0.00']]
Yuki79938 [['61.0', '0.0'], ['8.05', '0.00']]
CQueL [['22.2', '0.0'], ['7.68', '0.00']]
rosy2k [['18.6', '3.0'], ['7.37', '8.13']]
clixtify [['11.8', '0.0'], ['8.12', '0.00']]
aleemuresan [['5.2', '0.0'], ['9.24', '9.00']]
DanialN [['68.6', '12.1'], ['8.18', '9.38']]
KrtekML [['25.7', '0.0'], ['7.43', '0.00']]
Zparty4 [['44.5', '0.0'], ['7.77', '0.00']]
Layla03 [['89.6', '7.5'], ['7.05', '0.00']]
guffybtw [['93.0', '3.1'], ['7.10', '8.00']]
Kglizzy007 [['13.3', '0.0'], ['8.00', '0.00']]
Mephistofele [['36.7', '0.0'], ['7.09', '0.00']]
Medina999 [['17.1', '2.6'], ['7.00', '8.75']]
Sa350 [['0.1', '0.0'], ['0.00', '0.00']]
YuZu_girl [['1.7', '0.0'], ['9.00', '0.00']]
Whitron [['17.2', '0.0'], ['8.69', '0.00']]
sodawithoutlemon [['35.6', '0.0'], ['7.56', '0.00']]
xSwipe [['53.4', '0.0'], ['7.88', '0.00']]
eddybeiss [['12.8', '2.6'], ['7.50', '8.25']]
reinaldo2519 [['14.0', '0.0'], ['8.59', '9.45']]
RoboMojo42 [['12.7', '4.5'], ['7.47', '9.50']]
Souperman [['22.2', '0.1'], ['7.75', '7.00']]
titidub [['25.9', '26.9'], ['7.97', '8.60']]
DicePackTheater [['99.9', '1.8'], ['6.59', '0.00']]
2dkun_arcms [['94.0', '0.7'], ['7.28', '9.00']]
wolfcarnage [['0.1', '0.0'], ['0.00', '0.00']]
AGiantWeeb [['268.2', '16.9'], ['6.70', '7.93']]
Andy171 [['54.0', '4.5'], ['7.84', '9.00']]
unrldracco [['118.4', '0.0'], ['6.86', '0.00']]
Eyalisse [['69.2', '5.6'], ['6.51', '5.67']]
Oopsie112 [['46.6', '7.7'], ['6.99', '7.74']]
mick03 [['28.2', '0.0'], ['8.24', '0.00']]
Abdyxix [['62.2', '0.8'], ['8.13', '8.50']]
cobalt227 [['39.3', '19.5'], ['7.86', '8.91']]
nevia8 [['11.5', '1.2'], ['8.48', '8.00']]
bzcrf [['115.6', '30.3'], ['8.00', '8.24']]
ZaraIDK [['38.5', '20.7'], ['6.95', '7.29']]
Isralba [['88.4', '0.0'], ['4.40', '0.00']]
ibrahemZero123 [['27.7', '0.0'], ['9.51', '0.00']]
SirAnubis [['71.4', '4.2'], ['8.49', '9.86']]
lihane [['4.2', '0.0'], ['8.13', '0.00']]
Generikun_OG [['92.2', '0.0'], ['5.64', '0.00']]
ahmad_hk5 [['61.4', '1.0'], ['0.00', '0.00']]
Asyanan_kun [['9.6', '0.0'], ['8.15', '0.00']]
anal_destroyer69 [['18.6', '0.2'], ['9.00', '0.00']]
Borlosek [['23.1', '0.0'], ['7.88', '0.00']]
jonathan2020 [['10.5', '0.0'], ['9.03', '0.00']]
dianielcoo [['48.2', '2.0'], ['6.95', '8.75']]
SuperAlejo [['8.0', '18.7'], ['10.00', '10.00']]
senpaiLoves69 [['43.6', '0.0'], ['7.66', '0.00']]
70m4 [['45.2', '0.0'], ['6.76', '0.00']]
rajkumar-sama [['131.9', '11.0'], ['9.00', '0.00']]
Wrathful_Chicken [['180.5', '18.8'], ['6.82', '6.89']]
DevJ [['72.5', '130.9'], ['9.50', '9.33']]
KengWee666 [['2.2', '0.0'], ['9.44', '0.00']]
ChikaChikas [['0.0', '0.0'], ['9.00', '0.00']]
Bswamp4 [['37.7', '1.2'], ['7.81', '9.00']]
tomdabom64 [['5.2', '0.0'], ['8.73', '0.00']]
FurkanBey [['4.6', '0.0'], ['9.12', '0.00']]
LovecoreCannibal [['1.1', '0.0'], ['7.33', '0.00']]
JasonV1 [['78.0', '0.7'], ['10.00', '0.00']]
LauroWantsFood [['58.6', '12.0'], ['7.72', '8.73']]
Rungy69 [['20.3', '4.7'], ['9.39', '9.25']]
leviiiswife [['12.9', '2.9'], ['6.68', '7.67']]
Xeltri [['51.4', '12.0'], ['8.52', '9.25']]
Vox_Katchuga [['18.6', '0.0'], ['9.04', '0.00']]
bdavs [['18.9', '0.8'], ['7.64', '0.00']]
TwinkieWonder [['40.2', '0.7'], ['0.00', '0.00']]
Sprinters [['32.3', '0.0'], ['8.67', '0.00']]
Jackakarot [['70.3', '20.6'], ['6.73', '7.88']]
PedroBR510 [['45.5', '11.3'], ['8.70', '9.42']]
Mayramay_10 [['56.8', '0.4'], ['9.40', '9.00']]
Austinurbanski [['4.3', '0.0'], ['9.36', '0.00']]
little_turtle12 [['7.0', '0.0'], ['8.32', '0.00']]
AzazelNoWaifu [['139.2', '6.5'], ['6.87', '7.25']]
aristart [['4.0', '34.8'], ['10.00', '10.00']]
sad_jellyfish420 [['14.3', '1.8'], ['8.18', '10.00']]
LordEggWeeb [['21.6', '0.0'], ['6.49', '0.00']]
Rodrigo0413 [['33.2', '0.0'], ['0.00', '0.00']]
xturtlepies [['27.9', '0.0'], ['10.00', '0.00']]
MobyDee [['4.8', '3.1'], ['7.08', '7.50']]
Malikh1517 [['64.8', '0.0'], ['7.74', '0.00']]
Dwalla [['67.7', '0.0'], ['0.00', '0.00']]
Nunjalicious [['14.4', '0.0'], ['7.19', '0.00']]
MAJI_WEEABOO [['23.4', '3.7'], ['6.10', '6.00']]
Angelacho [['63.0', '16.7'], ['0.00', '0.00']]
NotmyLoss [['149.2', '6.1'], ['7.48', '8.71']]
Elnoble [['208.0', '4.9'], ['8.35', '9.13']]
matheuskroonos [['0.0', '0.0'], ['0.00', '0.00']]
Jeff_besos [['0.0', '0.0'], ['0.00', '0.00']]
SukunaFingers [['0.0', '0.1'], ['0.00', '0.00']]
Arathma [['244.2', '5.0'], ['6.40', '7.31']]
RPGCHAMPION12 [['11.4', '0.0'], ['9.76', '0.00']]
Kamidearu [['9.6', '0.0'], ['8.33', '0.00']]
TianaE4 [['15.2', '0.4'], ['8.24', '7.00']]
nananano [['2.0', '1.1'], ['9.00', '8.75']]
Aahered [['35.8', '0.0'], ['7.69', '0.00']]
Toghy [['5.0', '0.7'], ['9.88', '0.00']]
Pizza719 [['32.3', '6.2'], ['3.87', '7.60']]
Peeboi [['52.7', '3.2'], ['9.19', '0.00']]
gldvn [['25.7', '0.0'], ['8.64', '9.50']]
Meksis [['82.1', '0.0'], ['7.44', '0.00']]
TimmyWilly14 [['63.0', '5.4'], ['7.10', '7.71']]
Dupitos [['32.1', '0.0'], ['7.94', '0.00']]
KrTheMaster [['28.6', '0.0'], ['7.33', '0.00']]
DisturbinDan [['42.8', '1.5'], ['7.37', '0.00']]
Aph-Z [['23.6', '4.7'], ['7.16', '9.00']]
Varun-J-K [['61.2', '6.8'], ['8.25', '8.50']]
beawitch [['1.1', '0.5'], ['9.00', '10.00']]
Lazer510 [['29.1', '1.2'], ['8.30', '10.00']]
OneSliceKill [['43.1', '3.3'], ['6.15', '6.24']]
dexth [['27.8', '0.0'], ['7.13', '0.00']]
didiyna [['12.8', '4.0'], ['9.06', '9.55']]
MartaSof [['11.4', '0.7'], ['8.38', '9.50']]
